ProductID,SKU,ProductName,Category,Supplier,Warehouse,Quantity,ReorderLevel,UnitCost,SellingPrice,LastRestockDate,Status
1001,SKU-0001,Desk Lamp 1,Stationery,Global Traders,Warehouse-C,504,62,29.16,56.7,2025-06-25,Active
1002,SKU-0002,First Aid Kit 2,Food,PaperPlus,Warehouse-D,369,70,323.49,724.22,2026-03-08,Active
1003,SKU-0003,Coffee Beans 3,Automotive,BuildPro,Warehouse-E,236,19,296.33,408.9,2025-11-17,Active
1004,SKU-0004,Headphones 4,Automotive,FurniCo,Warehouse-C,96,44,136.52,219.8,2025-03-26,Active
1005,SKU-0005,Printer Paper 5,Medical,Global Traders,Warehouse-B,417,14,124.6,157.75,2025-04-24,Active
1006,SKU-0006,Speaker 6,Automotive,HealthSupply,Warehouse-B,387,29,23.27,35.55,2025-06-28,Active
1007,SKU-0007,Car Battery 7,Medical,Global Traders,Warehouse-B,534,100,421.48,641.98,2025-11-17,Active
1008,SKU-0008,Monitor 8,Tools,BuildPro,Warehouse-D,460,18,83.08,136.1,2025-03-22,Active
1009,SKU-0009,Car Battery 9,Electronics,FurniCo,Warehouse-A,914,22,458.47,1130.85,2025-11-11,Active
1010,SKU-0010,Coffee Beans 10,Medical,BuildPro,Warehouse-C,858,71,216.59,304.98,2025-12-24,Active
1011,SKU-0011,Safety Gloves 11,Clothing,PaperPlus,Warehouse-B,895,87,39.22,97.62,2025-01-11,Active
1012,SKU-0012,Notebook 12,Clothing,SafeWear,Warehouse-E,788,12,278.92,427.59,2025-05-03,Active
1013,SKU-0013,Desk Lamp 13,Food,BuildPro,Warehouse-D,452,26,317.47,562.2,2025-03-09,Active
1014,SKU-0014,Medical Mask 14,Stationery,Global Traders,Warehouse-A,745,28,11.48,20.71,2026-01-07,Active
1015,SKU-0015,Safety Gloves 15,Tools,PaperPlus,Warehouse-D,391,52,265.88,440.37,2025-12-15,Active
1016,SKU-0016,Headphones 16,Clothing,SafeWear,Warehouse-E,112,25,170.15,410.37,2025-10-20,Active
1017,SKU-0017,Safety Gloves 17,Tools,TechSource,Warehouse-C,9,67,1.66,3.78,2026-03-26,Low Stock
1018,SKU-0018,Coffee Beans 18,Automotive,Global Traders,Warehouse-C,924,92,108.17,207.93,2026-03-21,Active
1019,SKU-0019,Wireless Mouse 19,Clothing,Global Traders,Warehouse-D,58,25,431.28,727.49,2025-10-08,Active
1020,SKU-0020,Medical Mask 20,Clothing,PaperPlus,Warehouse-C,26,43,52.52,64.79,2025-03-13,Low Stock
1021,SKU-0021,First Aid Kit 21,Stationery,FurniCo,Warehouse-C,599,40,160.33,359.32,2026-03-05,Active
1022,SKU-0022,Wireless Mouse 22,Tools,AutoParts Ltd,Warehouse-A,793,16,194.12,459.02,2026-05-04,Active
1023,SKU-0023,First Aid Kit 23,Electronics,TechSource,Warehouse-A,697,14,353.21,738.41,2026-04-26,Active
1024,SKU-0024,Jacket 24,Furniture,BuildPro,Warehouse-D,415,17,49.8,118.28,2025-01-02,Active
1025,SKU-0025,Jacket 25,Tools,Global Traders,Warehouse-E,94,83,398.11,726.29,2025-10-29,Active
1026,SKU-0026,Notebook 26,Clothing,BuildPro,Warehouse-B,489,95,482.98,1179.46,2025-03-28,Active
1027,SKU-0027,Safety Gloves 27,Stationery,PaperPlus,Warehouse-A,16,27,435.76,899.87,2025-03-21,Low Stock
1028,SKU-0028,First Aid Kit 28,Clothing,Global Traders,Warehouse-A,669,75,39.22,89.38,2025-07-02,Active
1029,SKU-0029,Office Chair 29,Clothing,BuildPro,Warehouse-D,675,43,212.72,431.39,2025-03-08,Active
1030,SKU-0030,Car Battery 30,Automotive,AutoParts Ltd,Warehouse-D,183,91,49.8,59.8,2026-03-02,Active
1031,SKU-0031,Monitor 31,Furniture,SafeWear,Warehouse-C,257,34,115.81,150.3,2025-05-30,Active
1032,SKU-0032,Safety Gloves 32,Electronics,PaperPlus,Warehouse-E,343,72,4.25,8.84,2025-10-09,Active
1033,SKU-0033,Speaker 33,Stationery,FurniCo,Warehouse-E,351,71,400.91,770.89,2025-07-10,Active
1034,SKU-0034,Printer Paper 34,Electronics,AutoParts Ltd,Warehouse-D,424,80,131.6,303.31,2026-01-11,Active
1035,SKU-0035,Safety Gloves 35,Furniture,TechSource,Warehouse-D,899,11,42.52,105.11,2026-04-08,Active
1036,SKU-0036,Printer Paper 36,Medical,HealthSupply,Warehouse-C,53,12,44.66,62.3,2025-01-19,Active
1037,SKU-0037,First Aid Kit 37,Electronics,SafeWear,Warehouse-E,949,52,57.1,118.2,2025-09-17,Active
1038,SKU-0038,Car Battery 38,Tools,SafeWear,Warehouse-A,335,87,414.09,985.88,2025-08-02,Active
1039,SKU-0039,Jacket 39,Food,HealthSupply,Warehouse-A,905,20,496.85,807.79,2026-02-21,Active
1040,SKU-0040,Coffee Beans 40,Stationery,TechSource,Warehouse-A,536,74,451.49,746.0,2025-11-16,Active
1041,SKU-0041,Jacket 41,Furniture,SafeWear,Warehouse-B,930,12,90.54,113.47,2025-03-07,Active
1042,SKU-0042,Jacket 42,Tools,SafeWear,Warehouse-C,794,62,284.59,444.67,2025-10-25,Active
1043,SKU-0043,Monitor 43,Electronics,FurniCo,Warehouse-D,862,72,403.58,532.13,2025-10-10,Active
1044,SKU-0044,Wireless Mouse 44,Tools,HealthSupply,Warehouse-C,199,49,57.75,123.75,2025-06-06,Active
1045,SKU-0045,Office Chair 45,Stationery,PaperPlus,Warehouse-A,725,28,243.03,462.3,2026-01-30,Active
1046,SKU-0046,Headphones 46,Medical,PaperPlus,Warehouse-B,583,29,416.1,987.44,2025-10-14,Active
1047,SKU-0047,Desk Lamp 47,Clothing,Global Traders,Warehouse-D,288,45,80.48,114.08,2026-02-02,Active
1048,SKU-0048,Coffee Beans 48,Food,HealthSupply,Warehouse-D,705,57,249.47,485.88,2025-01-06,Active
1049,SKU-0049,Tool Box 49,Medical,SafeWear,Warehouse-C,282,77,36.15,79.41,2025-08-18,Active
1050,SKU-0050,Safety Gloves 50,Clothing,FurniCo,Warehouse-C,193,32,260.53,468.01,2026-03-26,Active
1051,SKU-0051,Desk Lamp 51,Food,BuildPro,Warehouse-D,429,73,420.61,588.34,2026-02-19,Active
1052,SKU-0052,Safety Gloves 52,Electronics,AutoParts Ltd,Warehouse-B,514,92,451.61,705.07,2025-05-11,Active
1053,SKU-0053,Notebook 53,Clothing,HealthSupply,Warehouse-C,608,37,22.17,26.65,2026-01-11,Active
1054,SKU-0054,Coffee Beans 54,Electronics,BuildPro,Warehouse-A,217,40,366.68,768.27,2026-05-30,Active
1055,SKU-0055,Tool Box 55,Furniture,TechSource,Warehouse-A,635,18,112.3,234.29,2025-05-30,Active
1056,SKU-0056,First Aid Kit 56,Electronics,TechSource,Warehouse-A,654,86,373.13,931.83,2025-09-06,Active
1057,SKU-0057,Office Chair 57,Electronics,SafeWear,Warehouse-E,531,51,457.72,768.32,2026-02-22,Active
1058,SKU-0058,First Aid Kit 58,Food,SafeWear,Warehouse-E,401,74,81.18,146.53,2026-02-26,Active
1059,SKU-0059,Tool Box 59,Automotive,Global Traders,Warehouse-D,329,98,183.33,326.4,2025-01-08,Active
1060,SKU-0060,Hammer 60,Tools,FurniCo,Warehouse-D,382,86,108.18,198.1,2025-12-23,Active
1061,SKU-0061,Speaker 61,Automotive,BuildPro,Warehouse-E,402,27,435.75,732.75,2025-09-16,Active
1062,SKU-0062,Coffee Beans 62,Furniture,Global Traders,Warehouse-B,492,69,64.06,159.16,2025-02-09,Active
1063,SKU-0063,USB Hub 63,Automotive,BuildPro,Warehouse-D,542,75,262.34,486.38,2025-11-22,Active
1064,SKU-0064,Notebook 64,Stationery,AutoParts Ltd,Warehouse-A,906,79,92.93,130.88,2025-03-27,Active
1065,SKU-0065,Medical Mask 65,Electronics,PaperPlus,Warehouse-B,455,98,336.57,595.61,2025-07-27,Active
1066,SKU-0066,Office Chair 66,Tools,HealthSupply,Warehouse-D,458,94,261.14,568.71,2026-03-09,Active
1067,SKU-0067,Tool Box 67,Electronics,FurniCo,Warehouse-B,435,47,183.1,258.94,2025-02-13,Active
1068,SKU-0068,Monitor 68,Stationery,FurniCo,Warehouse-C,23,22,317.23,675.01,2025-04-11,Active
1069,SKU-0069,Safety Gloves 69,Electronics,HealthSupply,Warehouse-E,295,19,286.74,690.78,2025-08-08,Active
1070,SKU-0070,Mechanical Keyboard 70,Furniture,Global Traders,Warehouse-D,978,33,382.17,788.02,2025-09-26,Active
1071,SKU-0071,Speaker 71,Electronics,Global Traders,Warehouse-C,195,95,141.02,314.35,2025-11-24,Active
1072,SKU-0072,Car Battery 72,Automotive,TechSource,Warehouse-C,912,11,483.31,1130.83,2025-01-28,Active
1073,SKU-0073,Office Chair 73,Stationery,SafeWear,Warehouse-D,219,47,39.26,68.86,2025-12-03,Active
1074,SKU-0074,Car Battery 74,Medical,FurniCo,Warehouse-D,931,20,133.95,187.16,2025-01-22,Active
1075,SKU-0075,Tool Box 75,Electronics,FurniCo,Warehouse-B,367,11,131.82,259.5,2025-07-20,Active
1076,SKU-0076,Desk Lamp 76,Food,HealthSupply,Warehouse-A,690,94,400.74,868.91,2026-05-05,Active
1077,SKU-0077,Speaker 77,Furniture,FurniCo,Warehouse-E,114,13,174.57,254.17,2025-10-22,Active
1078,SKU-0078,Desk Lamp 78,Automotive,TechSource,Warehouse-C,129,100,498.18,808.35,2025-11-04,Active
1079,SKU-0079,First Aid Kit 79,Clothing,PaperPlus,Warehouse-B,426,24,449.05,608.76,2025-03-24,Active
1080,SKU-0080,Monitor 80,Furniture,BuildPro,Warehouse-B,320,27,44.91,58.85,2025-11-03,Active
1081,SKU-0081,Tool Box 81,Furniture,AutoParts Ltd,Warehouse-B,467,58,131.35,327.14,2025-04-13,Active
1082,SKU-0082,Monitor 82,Furniture,AutoParts Ltd,Warehouse-A,331,72,23.22,28.65,2025-12-21,Active
1083,SKU-0083,Wireless Mouse 83,Automotive,PaperPlus,Warehouse-C,638,39,142.47,233.12,2025-12-14,Active
