ProductID,SKU,ProductName,Category,Supplier,Warehouse,Quantity,ReorderLevel,UnitCost,SellingPrice,LastRestockDate,Status
1001,SKU-0001,USB Hub 1,Automotive,Global Traders,Warehouse-A,808,35,355.22,808.82,2025-04-22,Active
1003,SKU-0003,Coffee Beans 3,Tools,AutoParts Ltd,Warehouse-A,815,50,2.24,5.47,2026-03-07,Active
1004,SKU-0004,Coffee Beans 4,Clothing,AutoParts Ltd,Warehouse-E,895,23,344.3,544.25,2026-01-26,Active
1005,SKU-0005,First Aid Kit 5,Medical,BuildPro,Warehouse-A,334,59,187.71,228.45,2025-10-01,Active
1006,SKU-0006,Safety Gloves 6,Automotive,Global Traders,Warehouse-D,771,45,127.28,167.92,2025-04-10,Active
1007,SKU-0007,Desk Lamp 7,Food,TechSource,Warehouse-B,758,70,162.08,208.67,2026-02-27,Active
1008,SKU-0008,Jacket 8,Tools,TechSource,Warehouse-D,15,32,33.94,83.26,2025-08-09,Low Stock
1009,SKU-0009,Speaker 9,Stationery,AutoParts Ltd,Warehouse-E,321,16,142.83,296.37,2025-11-30,Active
1010,SKU-0010,Speaker 10,Electronics,AutoParts Ltd,Warehouse-D,943,34,472.71,629.46,2025-02-21,Active
1011,SKU-0011,Speaker 11,Medical,BuildPro,Warehouse-B,709,47,250.44,600.73,2025-10-05,Active
1012,SKU-0012,Mechanical Keyboard 12,Medical,HealthSupply,Warehouse-A,757,79,211.9,380.27,2025-01-20,Active
1013,SKU-0013,First Aid Kit 13,Electronics,PaperPlus,Warehouse-B,73,75,326.25,479.74,2025-10-11,Low Stock
1014,SKU-0014,Notebook 14,Electronics,FurniCo,Warehouse-D,68,85,248.42,464.31,2026-03-01,Low Stock
1015,SKU-0015,Jacket 15,Clothing,SafeWear,Warehouse-E,520,13,16.3,28.91,2026-05-20,Active
1016,SKU-0016,Mechanical Keyboard 16,Clothing,SafeWear,Warehouse-E,889,38,412.58,912.86,2026-05-24,Active
1017,SKU-0017,Medical Mask 17,Tools,Global Traders,Warehouse-B,178,66,417.07,704.86,2025-06-19,Active
1018,SKU-0018,Medical Mask 18,Electronics,HealthSupply,Warehouse-D,960,20,438.19,583.32,2026-03-14,Active
1019,SKU-0019,Office Chair 19,Food,FurniCo,Warehouse-E,723,93,379.05,723.86,2026-04-06,Active
1020,SKU-0020,Wireless Mouse 20,Food,PaperPlus,Warehouse-E,578,42,410.02,815.14,2025-01-16,Active
1021,SKU-0021,Wireless Mouse 21,Stationery,Global Traders,Warehouse-B,663,20,430.02,796.01,2025-07-07,Active
1022,SKU-0022,Tool Box 22,Tools,TechSource,Warehouse-D,5,98,425.74,865.97,2025-03-10,Low Stock
1023,SKU-0023,Safety Gloves 23,Furniture,TechSource,Warehouse-C,602,14,415.04,549.72,2026-04-24,Active
1024,SKU-0024,Jacket 24,Clothing,AutoParts Ltd,Warehouse-D,145,91,55.14,104.21,2025-05-12,Active
1025,SKU-0025,Tool Box 25,Electronics,Global Traders,Warehouse-B,742,54,62.03,122.48,2026-04-28,Active
1026,SKU-0026,Printer Paper 26,Automotive,PaperPlus,Warehouse-D,329,64,452.99,782.14,2025-08-29,Active
1027,SKU-0027,Monitor 27,Stationery,AutoParts Ltd,Warehouse-C,75,32,361.38,710.31,2025-05-08,Active
1028,SKU-0028,Wireless Mouse 28,Clothing,HealthSupply,Warehouse-B,812,45,167.4,230.14,2025-10-16,Active
1029,SKU-0029,Car Battery 29,Furniture,SafeWear,Warehouse-B,456,58,322.43,571.53,2026-04-09,Active
1030,SKU-0030,Safety Gloves 30,Medical,TechSource,Warehouse-D,497,11,68.73,101.7,2025-10-11,Active
1031,SKU-0031,Hammer 31,Furniture,BuildPro,Warehouse-A,173,48,357.53,809.17,2025-11-02,Active
1032,SKU-0032,Jacket 32,Food,AutoParts Ltd,Warehouse-C,976,55,199.65,326.37,2025-01-31,Active
1033,SKU-0033,Headphones 33,Automotive,HealthSupply,Warehouse-B,905,94,480.16,703.08,2026-01-01,Active
